country,lat,lon,mean_err_km
"Germany",51.08304539800482,10.426171427430804,884.0
"Ireland",53.30489539816495,-8.241128545554096,875.9
"United Kingdom",53.97844735080214,-2.852943909329258,871.9
"Switzerland",46.73678128684938,8.286928794895285,865.0
"Rwanda",-2.014687460047154,29.919439681764082,852.8
"Côte d'Ivoire",7.536779279421307,-5.571710194917734,847.7
"Denmark",56.00118817971057,9.378670542409406,847.0
"Faroe Islands",62.130896281495346,-6.9811060913122835,844.6
"Luxembourg",49.77523454542369,6.103230338458876,841.4
"Saudi Arabia",24.136038144757897,44.600958178225596,825.3
"San Marino",43.942820729097896,12.461278349581722,817.6
"Indonesia",0.15591979959037652,113.96538246847302,812.2
"Djibouti",11.750235727618804,42.613496898789506,797.1
"Micronesia",6.8789448129255435,158.2291899444527,797.0
"Finland",65.01578959749911,25.65738433454702,796.3
"Turkey",38.93207363123396,35.56886764076691,795.8
"Eritrea",15.005533147667684,39.2672401449901,795.3
"Chad",15.283493546654503,18.427113900363025,792.0
"Latvia",56.813853047554154,24.693671325654403,779.3
"Pakistan",30.116188371410882,69.08835090769651,773.4
"Albania",41.14165894891656,20.061082767269493,718.9
"Congo DRC",-3.338629596207896,23.419827574282188,716.6
"Dominican Republic",18.77954818522993,-70.43495198520012,714.6
"Tajikistan",38.56933138382972,70.94215281065698,704.8
"Antigua and Barbuda",17.07146759372967,-61.78530823226373,703.0
"Algeria",28.350969744889056,2.6558464719769135,701.9
"Somalia",6.524534573103924,45.40037867243972,700.4
"Iran",32.906023742890056,54.237077001065444,699.3
"Ukraine",48.657532515563794,31.27377208442636,696.9
"Sudan",15.67060230984256,29.951458283594064,692.8
"Isle of Man",54.22855301008011,-4.532995055468449,681.5
"Belgium",50.6182138854095,4.675010154696485,666.9
"Uganda",1.2821729218416205,32.34371768463123,660.4
"Libya",27.202915771690794,17.91133392454237,659.2
"Kuwait",29.281360965443092,47.56311109320184,646.9
"Christmas Island",-10.446440802183416,105.70209512200549,633.7
"Grenada",12.112926656338907,-61.67937937204098,631.1
"South Sudan",7.657782041763295,30.3851856901788,628.7
"Tanzania",-6.355794440041147,34.81832206060381,627.9
"Romania",45.82454894397586,25.094158201563292,608.2
"Barbados",13.183219369337529,-59.557383949150285,607.2
"Norway",64.97775882947745,16.670259272390894,596.3
"Afghanistan",34.13402601376932,66.59216131095278,592.6
"Egypt",26.60517034450628,30.240135435012338,578.2
"Venezuela",7.148324760507107,-66.36492135985132,566.7
"British Virgin Islands",18.42195819619707,-64.62406519257699,563.0
"Saint Vincent and the Grenadines",13.254808122970651,-61.193766354393034,559.3
"Italy",42.98201127614267,12.763657166123137,535.7
"Sint Maarten",18.03942608463078,-63.06883135915303,523.4
"Syria",35.09751106058316,38.5117323139514,518.5
"Dominica",15.429269860940513,-61.360471946942994,507.2
"Juan De Nova Island",-17.06449193630804,42.74374761089645,487.2
"Georgia",42.17986277737226,43.378866534112234,481.1
"Saba",17.632512616389718,-63.23739481909494,473.1
"Sierra Leone",8.561330384750587,-11.78656695731115,451.0
"Tuvalu",-8.514701506447222,179.217833977593,450.6
"Montserrat",16.735363391460357,-62.18693281256255,441.5
"Bulgaria",42.82043677302438,25.251739122561908,440.3
"France",46.6423682169416,2.1940236627886227,433.6
"Austria",47.631858269895794,13.797778364631036,426.3
"Uzbekistan",41.4879065244633,63.8548297593985,426.2
"Armenia",40.17841274230679,45.05490831965259,414.9
"Iraq",33.105075667527906,43.832529181056884,411.6
"Lithuania",55.29437393417175,23.946021605013534,405.8
"Gibraltar",36.14022671336082,-5.345549484594358,395.6
"Monaco",43.74798224995656,7.412820873271196,390.6
"Qatar",25.318528486425386,51.19794918743203,386.5
"Palestinian Territory",31.930818736453883,35.24251184154588,379.9
"Vatican City",41.90402351316735,12.451312917026133,362.3
"Colombia",4.187753877352739,-72.6445066243485,355.2
"Niue",-19.05230921680393,-169.86878106699083,353.1
"Montenegro",42.73694835210454,19.29505087156758,344.9
"Saint Lucia",13.895749185129906,-60.9689510935251,342.0
"Croatia",44.91192100856702,16.625761129583374,308.4
"North Macedonia",41.59402890143112,21.70998923872772,308.1
"Hungary",47.22527332486294,19.39620048366142,298.9
"Bahrain",26.04798501537066,50.540695402276775,292.4
"Belarus",53.46791374543163,27.964252054715104,284.6
"Azerbaijan",40.3920509942049,48.634592670644324,281.4
"Estonia",58.648108311231034,25.916870250633806,276.3
"Moldova",47.0725674580696,28.391111865941348,275.5
"Oman",20.7242833183209,55.841088119829,271.0
"Saint Kitts and Nevis",17.314736299587768,-62.74560385895787,253.9
"Czech Republic",49.74917370930982,15.383273292023533,248.6
"Andorra",42.54859834854764,1.5802243611232873,246.4
"Poland",52.06848055692473,19.43573279234468,240.1
"Zambia",-13.162832953186246,27.75521363430896,237.6
"Liechtenstein",47.14627562133036,9.547674672376376,231.1
"Jersey",49.215396925724306,-2.1291601162653575,218.8
"Slovenia",46.13759229564504,14.890636899973781,214.8
"Benin",9.503013199615893,2.305714528830206,194.0
"Slovakia",48.69808390520484,19.581015362490966,187.6
"United Arab Emirates",24.18250292309135,54.27920525789581,182.6
"Bosnia and Herzegovina",44.14415356126429,17.83467240787538,177.8
"Gabon",-0.628448459921234,11.839410898545754,170.1
"Serbia",44.02679870131969,20.85677444395745,167.7
"India",23.586300567746722,81.17300408530181,145.4
"Lebanon",33.91160170722086,35.89651946324749,143.7
"Turkmenistan",39.06069118001429,58.4577357627054,59.7
"Jordan",31.387064884449156,36.95728884547246,44.9
